web-scraper-order,web-scraper-start-url,Detail,Detail-href,Name,Image-src,Category,Ig_Follow,eng_rate,est_Reel_play,Avg_like,Avg_Comments,yt_subs,views(30 days),total_views,uplaods,yt_links,yt_links-href,insta_link,insta_link-href
"1708342125-1","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/jeetchoudhary_airmen/IA_129146?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Jeet~Choudhary","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/25356344921.jpg","Defence","1,625","3.18%","422","48","2","","","","","","","","https://www.instagram.com/jeetchoudhary_airmen"
"1708342138-2","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/shantu_army/IA_127277?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Shantu_army","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7146502198.jpg","Defence","1,770","9.10%","789","152","8","","","","","","","","https://www.instagram.com/shantu_army"
"1708342151-3","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/mitrmonitor/IA_122831?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Mitr Monitor","","Defence","2,093","0.11%","NaN","2","NaN","","","","","","","","https://www.instagram.com/mitrmonitor"
"1708342166-4","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/youraviationguy/IA_120424?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","अमित सिंह।","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/1728273532.jpg","Defence","2,240","2.51%","871","48","7","","","","","","","","https://www.instagram.com/youraviationguy"
"1708342180-5","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/sureshkumar0330/IA_117435?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Suresh Bhagat","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4258674898.jpg","Defence","2,341","2.24%","357","49","2","","","","","","","","https://www.instagram.com/sureshkumar0330"
"1708342189-6","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/racer_amit_/IA_116057?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Ak Saini","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/9456300290.jpg","Defence","2,499","3.92%","440","86","11","","","","","","","","https://www.instagram.com/racer_amit_"
"1708342196-7","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/mksamrat786/IA_165788?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","M K Samrat","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/45282869387.jpg","Defence","2,611","0.67%","75","16","0","53,100","21,696","769,312","411","","https://www.youtube.com/channel/UCkKIBTXDGb7eV23olhY5PHQ","","https://www.instagram.com/mksamrat786"
"1708342202-8","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/army_swag_64/IA_109777?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","INDIAN ARMY🇮🇳","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/52358847871.jpg","Defence","2,720","3.23%","367","82","5","","","","","","","","https://www.instagram.com/army_swag_64"
"1708342208-9","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/indiansf/IA_112475?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Indian Special Forces","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/6168920446.jpg","Defence","2,747","21.92%","NaN","600","3","","","","","","","","https://www.instagram.com/indiansf"
"1708342211-10","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/royal_raa_111/IA_108443?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","𝖕𝖗𝖆𝖉𝖞𝖚𝖒𝖆𝖓 𝖘𝖎𝖓𝖍 𝖈𝖍𝖚𝖉𝖆𝖘𝖆𝖒𝖆","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/5332679209.jpg","Defence","3,129","17.59%","1,408","451","99","","","","","","","","https://www.instagram.com/royal_raa_111"
"1708342215-11","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/yashjha552/IA_108234?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Yash Jha","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/5760917287.jpg","Defence","3,276","0.24%","149","8","NaN","","","","","","","","https://www.instagram.com/yashjha552"
