web-scraper-order,Name,Image-src,Category,Ig_Follow,eng_rate,est_Reel_play,Avg_like,Avg_Comments,yt_subs,views(30 days),total_views,uplaods,yt_links-href,insta_link-href
1708342125-1,Jeet~Choudhary,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/25356344921.jpg,Defence,1625.0,3.18%,422.0,48.0,2.0,,,,,,https://www.instagram.com/jeetchoudhary_airmen
1708342138-2,Shantu_army,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7146502198.jpg,Defence,1770.0,9.10%,789.0,152.0,8.0,,,,,,https://www.instagram.com/shantu_army
1708342151-3,Mitr Monitor,,Defence,2093.0,0.11%,,2.0,,,,,,,https://www.instagram.com/mitrmonitor
1708342166-4,अमित सिंह।,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/1728273532.jpg,Defence,2240.0,2.51%,871.0,48.0,7.0,,,,,,https://www.instagram.com/youraviationguy
1708342180-5,Suresh Bhagat,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4258674898.jpg,Defence,2341.0,2.24%,357.0,49.0,2.0,,,,,,https://www.instagram.com/sureshkumar0330
1708342189-6,Ak Saini,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/9456300290.jpg,Defence,2499.0,3.92%,440.0,86.0,11.0,,,,,,https://www.instagram.com/racer_amit_
1708342196-7,M K Samrat,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/45282869387.jpg,Defence,2611.0,0.67%,75.0,16.0,0.0,53100.0,21696.0,769312.0,411.0,https://www.youtube.com/channel/UCkKIBTXDGb7eV23olhY5PHQ,https://www.instagram.com/mksamrat786
1708342202-8,INDIAN ARMY🇮🇳,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/52358847871.jpg,Defence,2720.0,3.23%,367.0,82.0,5.0,,,,,,https://www.instagram.com/army_swag_64
1708342208-9,Indian Special Forces,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/6168920446.jpg,Defence,2747.0,21.92%,,600.0,3.0,,,,,,https://www.instagram.com/indiansf
1708342211-10,𝖕𝖗𝖆𝖉𝖞𝖚𝖒𝖆𝖓 𝖘𝖎𝖓𝖍 𝖈𝖍𝖚𝖉𝖆𝖘𝖆𝖒𝖆,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/5332679209.jpg,Defence,3129.0,17.59%,1408.0,451.0,99.0,,,,,,https://www.instagram.com/royal_raa_111
1708342215-11,Yash Jha,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/5760917287.jpg,Defence,3276.0,0.24%,149.0,8.0,,,,,,,https://www.instagram.com/yashjha552
1708342218-12,`                                                  नितिन इन्सां,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/30382452642.jpg,Defence,3354.0,1.71%,448.0,53.0,4.0,,,,,,https://www.instagram.com/im_nitin_insha
